SideOfVFD,Product, Class, Size, Unit, Power, Frequency, Part Number, Notes, Notes2, Notes3
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 3, HP, , 50/60, 10Z1B03-1012, Motor = 10.6A (12A Max), ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 5, HP, , 50/60, 12Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 7.5, HP, , 50/60, 13Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 10, HP, , 50/60, 14Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 15, HP, , 50/60, 15Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 20, HP, , 50/60, 16Z1B03-1012, , , 
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 25, HP, , 50/60, 17Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 30, HP, , 50/60, 18Z1B03-1012, , ,    
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 40, HP, , 50/60, 19Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 50, HP, , 50/60, 20Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 60, HP, , 50/60, 21Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 75, HP, , 50/60, 22Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 100, HP, , 50/60, 23Z1B03-1012, , ,
Mains, Mains Choke (Z1), 230V 3PH - 3% Impedance, 125, HP, , 50/60, 24Z1B03-1012, , ,


Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 3, HP, , 50/60, 10Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 5, HP, , 50/60, 12Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 7.5, HP, , 50/60, 13Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 10, HP, , 50/60, 14Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 15, HP, , 50/60, 15Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 20, HP, , 50/60, 16Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 25, HP, , 50/60, 17Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 30, HP, , 50/60, 18Z1B03-1015, , ,    
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 40, HP, , 50/60, 19Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 50, HP, , 50/60, 20Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 60, HP, , 50/60, 21Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 75, HP, , 50/60, 22Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 100, HP, , 50/60, 23Z1B03-1015, , ,
Mains, Mains Choke (Z1), 230V 3PH - 5% Impedance, 125, HP, , 50/60, 24Z1B03-1015, , ,


Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 0.5, HP, , 50/60, 05Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 1, HP, , 50/60, 07Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 2, HP, , 50/60, 09Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 3, HP, , 50/60, 10Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 5, HP, , 50/60, 12Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 7.5, HP, , 50/60, 13Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 10, HP, , 50/60, 14Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 15, HP, , 50/60, 15Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 20, HP, , 50/60, 16Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 25, HP, , 50/60, 17Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 30, HP, , 50/60, 18Z1B05-1012, , ,    
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 40, HP, , 50/60, 19Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 50, HP, , 50/60, 20Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 60, HP, , 50/60, 21Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 75, HP, , 50/60, 22Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 100, HP, , 50/60, 23Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 125, HP, , 50/60, 24Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 150, HP, , 50/60, 25Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 200, HP, , 50/60, 27Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 250, HP, , 50/60, 28Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 300, HP, , 50/60, 29Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 400, HP, , 50/60, 30Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 450, HP, , 50/60, 31Z1B05-1012, , ,
Mains, Mains Choke (Z1), 480V 3PH - 3% Impedance, 500, HP, , 50/60, 32Z1B05-1012, , ,

Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 0.5, HP, , 50/60, 05Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 1, HP, , 50/60, 07Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 2, HP, , 50/60, 09Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 3, HP, , 50/60, 10Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 5, HP, , 50/60, 12Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 7.5, HP, , 50/60, 13Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 10, HP, , 50/60, 14Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 15, HP, , 50/60, 15Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 20, HP, , 50/60, 16Z1B05-1015, , ,
Mains, Mains Choke (Z1), 480V 3PH - 5% Impedance, 25, HP, , 50/60, 17Z1B05-1015, , ,
