# IMPORTANT: All formulas expect and return SI BASE UNITS
# Length: meters (m) | Time: seconds (s) | Mass: kilograms (kg) | Angle: radians (rad)
# Linear velocity: m/s | Angular velocity: rad/s | Force: Newtons (N) | Pressure: Pascals (Pa)
# Power: Watts (W) | Torque: Newton-meters (Nm)
# Your application code (main.js) must convert user inputs TO base units before calling formulas
# and convert formula results FROM base units for display (e.g., mm→m, RPM→rad/s, W→HP)
#
Application,FormulaName,Description,Parameters,Unit,Expression
General,areaOfCircle,Calculate area of circle,radius,m²,Math.PI * radius * radius
General,flowRate,Calculate flow rate,volume|time,m³/s,volume / time
Pump,clamparea,Calculate clamp area from bore and rod diameter,boreDiameter|rodDiameter,m²,(Math.PI*(boreDiameter/2)**2)-(Math.PI*(rodDiameter/2)**2)
Pump,clampvolume,Calculate clamp volume,clamparea|strokeLength,m³,clamparea * strokeLength
Pump,pumpflowrate,Calculate pump flow rate,timeOfStroke|clampvolume,m³/s,timeOfStroke > 0 ? (clampvolume / timeOfStroke) : 0
Pump,pumpdisplacement,Calculate pump displacement,pumpflowrate|angularVelocity,m³/rev,!angularVelocity || angularVelocity === 0 ? 0 : (pumpflowrate * 2 * Math.PI) / angularVelocity
Pump,pumpclampingforce,Calculate clamping force,clampPressure|clamparea,N,clampPressure * clamparea
Pump,motortorque,Calculate motor torque for pump,selectedPumpDisplacement|clampPressure|volefficiency,Nm,!selectedPumpDisplacement || selectedPumpDisplacement === 0 ? 0 : (clampPressure * selectedPumpDisplacement) / (2 * Math.PI * (volefficiency || 1))
Pump,motorspeed,Calculate motor speed for pump,clampingFlowRate|selectedPumpDisplacement|volefficiency,rad/s,!selectedPumpDisplacement || selectedPumpDisplacement === 0 ? 0 : (clampingFlowRate / (selectedPumpDisplacement * (volefficiency || 1))) * 2 * Math.PI
Lift,rotationalspeed,Calculate rotational speed from linear speed,maxSpeed|drumDiameter,rad/s,(2 * maxSpeed) / drumDiameter
Lift,forcegravity,Calculate gravitational force,mass|gravity,N,mass * (gravity || 9.81)
Lift,drumtorque,Calculate drum torque,forcegravity|drumDiameter,Nm,forcegravity * (drumDiameter/2)
Lift,peakacceleration,Calculate peak acceleration,maxSpeed|accelDecelTime,m/s²,maxSpeed / accelDecelTime
Lift,peakdrumtorque,Calculate peak drum torque,drumDiameter|mass|angularAcceleration,Nm,(drumDiameter / 2) * mass * (angularAcceleration + 9.81)
Lift,motorpower,Calculate motor power for lift,torque|angularspeed,W,torque * angularspeed
Rotarytable,maxangularspeed,Calculate maximum angular speed,rotationalMoveDistance|totalMoveTime|accelTime|decelTime|gearboxRatio,rad/s,gearboxRatio * (rotationalMoveDistance / (totalMoveTime - 0.5*accelTime - 0.5*decelTime))
Rotarytable,maxrotationalspeed,Calculate maximum rotational speed,maxAngularSpeed|gearboxRatio,rad/s,maxAngularSpeed * gearboxRatio
